method,block,road_length_m,benefit
clearance,KEN.30.6_1_109,0.0000,0
clearance,KEN.30.6_1_109,311.6807,1.02619e-15
clearance,KEN.30.6_1_109,630.7151,2.25609e-15
clearance,KEN.30.6_1_109,1004.2904,3.31987e-15
clearance,KEN.30.6_1_109,1347.1442,2.97972e-15
clearance,KEN.30.6_1_109,1709.5442,4.26807e-15
clearance,KEN.30.6_1_109,2017.5110,4.18418e-15
clearance,KEN.30.6_1_109,2428.3935,5.90556e-15
clearance,KEN.30.6_1_109,2751.5818,6.28952e-15
clearance,KEN.30.6_1_109,3122.8431,3.99622e-15
clearance,KEN.30.6_1_109,3442.7499,3.74905e-15
clearance,KEN.30.6_1_109,3790.8784,4.57953e-15
clearance,KEN.30.6_1_109,4149.2564,3.35704e-15
clearance,KEN.30.6_1_109,4467.0174,5.77234e-15
clearance,KEN.30.6_1_109,4845.3434,6.73372e-15
clearance,KEN.30.6_1_109,5198.0589,6.58467e-15
clearance,KEN.30.6_1_109,5550.9294,6.69559e-15
clearance,KEN.30.6_1_109,5896.8772,5.14202e-15
clearance,KEN.30.6_1_109,6251.4411,4.68233e-15
clearance,KEN.30.6_1_109,6567.8175,4.59288e-15
clearance,KEN.30.6_1_109,6947.7839,4.94703e-15
greedy_arterial_buildable,KEN.30.6_1_109,0.0000,0
greedy_arterial_buildable,KEN.30.6_1_109,758.9062,0
greedy_arterial_buildable,KEN.30.6_1_109,954.2699,1.66922e-14
greedy_arterial_buildable,KEN.30.6_1_109,1117.5374,8.60877e-15
greedy_arterial_buildable,KEN.30.6_1_109,1375.0373,7.93883e-15
greedy_arterial_buildable,KEN.30.6_1_109,1619.0599,6.93975e-15
greedy_arterial_buildable,KEN.30.6_1_109,2143.6765,0.0319513
greedy_arterial_buildable,KEN.30.6_1_109,2220.5329,0.031595
greedy_arterial_buildable,KEN.30.6_1_109,2487.0298,0.108472
greedy_arterial_buildable,KEN.30.6_1_109,2585.7986,0.169529
greedy_arterial_buildable,KEN.30.6_1_109,2779.3750,0.177418
greedy_arterial_buildable,KEN.30.6_1_109,3052.5108,0.194109
greedy_arterial_buildable,KEN.30.6_1_109,3164.5367,0.196974
greedy_arterial_buildable,KEN.30.6_1_109,3350.0021,0.212519
greedy_arterial_buildable,KEN.30.6_1_109,3594.9267,0.229097
clearance_looped,KEN.30.6_1_109,0.0000,0
clearance_looped,KEN.30.6_1_109,404.5583,1.04694e-15
clearance_looped,KEN.30.6_1_109,879.9390,2.15328e-15
clearance_looped,KEN.30.6_1_109,1286.4998,5.16121e-15
clearance_looped,KEN.30.6_1_109,1763.1904,6.03651e-15
clearance_looped,KEN.30.6_1_109,2251.8940,4.37693e-15
clearance_looped,KEN.30.6_1_109,2695.6913,0.00962989
clearance_looped,KEN.30.6_1_109,3123.1615,0.00876121
clearance_looped,KEN.30.6_1_109,3558.0947,0.00770192
clearance_looped,KEN.30.6_1_109,4015.6327,0.00981003
clearance_looped,KEN.30.6_1_109,4490.3429,0.0319314
clearance_looped,KEN.30.6_1_109,4945.4544,0.0292222
clearance_looped,KEN.30.6_1_109,5376.4968,0.0286269
clearance_looped,KEN.30.6_1_109,5822.2664,0.0417155
clearance_looped,KEN.30.6_1_109,6273.9846,0.0452419
clearance_looped,KEN.30.6_1_109,6745.5137,0.0896948
clearance_looped,KEN.30.6_1_109,7208.3309,0.0986876
clearance_looped,KEN.30.6_1_109,7628.5305,0.146149
clearance_looped,KEN.30.6_1_109,8081.4386,0.180089
clearance_looped,KEN.30.6_1_109,8517.3593,0.207698
clearance_looped,KEN.30.6_1_109,9012.5059,0.264995
euclidean_grid,KEN.30.6_1_109,0.0000,0
euclidean_grid,KEN.30.6_1_109,2291.7028,0.130447
euclidean_grid,KEN.30.6_1_109,4660.0734,0.146626
euclidean_grid,KEN.30.6_1_109,6815.1419,0.132957
euclidean_grid,KEN.30.6_1_109,9281.0259,0.139553
euclidean_grid,KEN.30.6_1_109,11598.9880,0.275388
euclidean_grid,KEN.30.6_1_109,13887.3820,0.324459
euclidean_grid,KEN.30.6_1_109,16237.3858,0.339079
euclidean_grid,KEN.30.6_1_109,18307.8826,0.346824
euclidean_grid,KEN.30.6_1_109,20939.4618,0.353515
euclidean_grid,KEN.30.6_1_109,23135.5525,0.352446
euclidean_grid,KEN.30.6_1_109,25624.6586,0.367735
euclidean_grid,KEN.30.6_1_109,27814.8390,0.373477
euclidean_grid,KEN.30.6_1_109,30238.5283,0.402518
euclidean_grid,KEN.30.6_1_109,32366.4125,0.434277
euclidean_grid,KEN.30.6_1_109,34670.8800,0.475487
euclidean_grid,KEN.30.6_1_109,37153.7750,0.506366
euclidean_grid,KEN.30.6_1_109,39599.8530,0.543954
euclidean_grid,KEN.30.6_1_109,41908.8266,0.566826
euclidean_grid,KEN.30.6_1_109,44289.2755,0.578762
euclidean_grid,KEN.30.6_1_109,46624.8646,0.589801
osm_footpaths,KEN.30.6_1_109,0.0000,0
osm_footpaths,KEN.30.6_1_109,194.9610,0.30801
osm_footpaths,KEN.30.6_1_109,613.9231,0.30801
osm_footpaths,KEN.30.6_1_109,817.7685,0.0742459
osm_footpaths,KEN.30.6_1_109,960.0722,0.0676283
osm_footpaths,KEN.30.6_1_109,1080.9080,0.0656309
osm_footpaths,KEN.30.6_1_109,1260.7342,0.0760612
osm_footpaths,KEN.30.6_1_109,1417.1156,0.0756911
osm_footpaths,KEN.30.6_1_109,1643.3431,0.0760612
osm_footpaths,KEN.30.6_1_109,1896.5801,0.0760612
osm_footpaths,KEN.30.6_1_109,1988.7314,0.0760612
osm_footpaths,KEN.30.6_1_109,2111.4905,0.0760612
osm_footpaths,KEN.30.6_1_109,2294.7592,0.0760612
osm_footpaths,KEN.30.6_1_109,2427.0810,0.0760612
