method,block,road_length_m,benefit
clearance,ZAF.9.3.1_1_38528,0.0000,0
clearance,ZAF.9.3.1_1_38528,125.2233,0.240658
clearance,ZAF.9.3.1_1_38528,317.1026,0.398882
clearance,ZAF.9.3.1_1_38528,586.6309,0.510049
clearance,ZAF.9.3.1_1_38528,787.1912,0.5833
clearance,ZAF.9.3.1_1_38528,980.2722,0.622569
clearance,ZAF.9.3.1_1_38528,1183.4014,0.659703
clearance,ZAF.9.3.1_1_38528,1348.8634,0.687836
clearance,ZAF.9.3.1_1_38528,1567.7163,0.719994
clearance,ZAF.9.3.1_1_38528,1758.7613,0.762859
clearance,ZAF.9.3.1_1_38528,1957.9142,0.777147
clearance,ZAF.9.3.1_1_38528,2165.8419,0.796996
clearance,ZAF.9.3.1_1_38528,2360.0848,0.806869
clearance,ZAF.9.3.1_1_38528,2541.9749,0.818839
clearance,ZAF.9.3.1_1_38528,2752.8940,0.832854
clearance,ZAF.9.3.1_1_38528,2962.3385,0.839132
clearance,ZAF.9.3.1_1_38528,3137.9335,0.848666
clearance,ZAF.9.3.1_1_38528,3347.2158,0.855282
clearance,ZAF.9.3.1_1_38528,3548.6199,0.863501
clearance,ZAF.9.3.1_1_38528,3753.5635,0.868906
clearance,ZAF.9.3.1_1_38528,3955.4684,0.875523
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,0.0000,0
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,161.7984,0.158745
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,607.3235,0.365513
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,872.8110,0.490433
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,1089.4398,0.527411
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,1542.7539,0.589291
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,1742.6069,0.589864
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2024.1321,0.622739
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2444.8649,0.655978
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2652.6698,0.656473
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,2992.5706,0.692694
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,3330.4607,0.697279
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,3687.9902,0.720359
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,3982.8782,0.731834
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,4290.2371,0.748427
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,4580.2556,0.760136
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,4896.0624,0.783047
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,5227.6163,0.785014
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,5557.4929,0.790953
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,5862.1552,0.791331
greedy_arterial_repulsion,ZAF.9.3.1_1_38528,6179.2743,0.791331
clearance_looped,ZAF.9.3.1_1_38528,0.0000,0
clearance_looped,ZAF.9.3.1_1_38528,154.6997,0.093713
clearance_looped,ZAF.9.3.1_1_38528,420.7229,0.332053
clearance_looped,ZAF.9.3.1_1_38528,755.5010,0.441812
clearance_looped,ZAF.9.3.1_1_38528,980.0152,0.581763
clearance_looped,ZAF.9.3.1_1_38528,1265.1235,0.636232
clearance_looped,ZAF.9.3.1_1_38528,1533.2461,0.665681
clearance_looped,ZAF.9.3.1_1_38528,1769.6434,0.705315
clearance_looped,ZAF.9.3.1_1_38528,1961.2270,0.752582
clearance_looped,ZAF.9.3.1_1_38528,2248.2603,0.784597
clearance_looped,ZAF.9.3.1_1_38528,2542.9090,0.802858
clearance_looped,ZAF.9.3.1_1_38528,2783.4987,0.81755
clearance_looped,ZAF.9.3.1_1_38528,3056.4372,0.836709
clearance_looped,ZAF.9.3.1_1_38528,3322.8939,0.847598
clearance_looped,ZAF.9.3.1_1_38528,3542.6612,0.85678
clearance_looped,ZAF.9.3.1_1_38528,3812.5452,0.861521
clearance_looped,ZAF.9.3.1_1_38528,4060.1871,0.868672
clearance_looped,ZAF.9.3.1_1_38528,4340.8326,0.873882
clearance_looped,ZAF.9.3.1_1_38528,4585.7579,0.880407
clearance_looped,ZAF.9.3.1_1_38528,4848.8584,0.882738
clearance_looped,ZAF.9.3.1_1_38528,5114.1393,0.883663
euclidean_grid,ZAF.9.3.1_1_38528,0.0000,0
euclidean_grid,ZAF.9.3.1_1_38528,302.5954,0.0107584
euclidean_grid,ZAF.9.3.1_1_38528,1122.6516,0.101033
euclidean_grid,ZAF.9.3.1_1_38528,1551.0240,0.539406
euclidean_grid,ZAF.9.3.1_1_38528,2276.7539,0.650976
euclidean_grid,ZAF.9.3.1_1_38528,2626.5948,0.659729
euclidean_grid,ZAF.9.3.1_1_38528,3131.9041,0.730896
euclidean_grid,ZAF.9.3.1_1_38528,3573.0397,0.741329
euclidean_grid,ZAF.9.3.1_1_38528,4188.0127,0.76084
euclidean_grid,ZAF.9.3.1_1_38528,4796.4129,0.767313
euclidean_grid,ZAF.9.3.1_1_38528,5616.2210,0.790836
euclidean_grid,ZAF.9.3.1_1_38528,6064.3633,0.81867
euclidean_grid,ZAF.9.3.1_1_38528,6791.3220,0.834964
euclidean_grid,ZAF.9.3.1_1_38528,7352.7829,0.851023
euclidean_grid,ZAF.9.3.1_1_38528,8093.1970,0.858017
euclidean_grid,ZAF.9.3.1_1_38528,8610.7005,0.865598
euclidean_grid,ZAF.9.3.1_1_38528,9308.2129,0.879039
euclidean_grid,ZAF.9.3.1_1_38528,9843.4810,0.88563
euclidean_grid,ZAF.9.3.1_1_38528,10443.4810,0.896532
euclidean_grid,ZAF.9.3.1_1_38528,10999.7387,0.904854
euclidean_grid,ZAF.9.3.1_1_38528,11641.6784,0.910012
osm_footpaths,ZAF.9.3.1_1_38528,0.0000,0
osm_footpaths,ZAF.9.3.1_1_38528,270.9501,0
osm_footpaths,ZAF.9.3.1_1_38528,548.5871,0
osm_footpaths,ZAF.9.3.1_1_38528,905.5738,0.0141318
osm_footpaths,ZAF.9.3.1_1_38528,1165.3731,0.0141318
osm_footpaths,ZAF.9.3.1_1_38528,1580.0140,0.0141318
osm_footpaths,ZAF.9.3.1_1_38528,1904.5228,0.0141318
osm_footpaths,ZAF.9.3.1_1_38528,2208.3575,0.282923
osm_footpaths,ZAF.9.3.1_1_38528,2507.9765,0.300676
osm_footpaths,ZAF.9.3.1_1_38528,2855.4091,0.315667
osm_footpaths,ZAF.9.3.1_1_38528,3201.9650,0.383057
osm_footpaths,ZAF.9.3.1_1_38528,3482.2147,0.414486
osm_footpaths,ZAF.9.3.1_1_38528,3902.0123,0.485757
osm_footpaths,ZAF.9.3.1_1_38528,4219.1905,0.486669
osm_footpaths,ZAF.9.3.1_1_38528,4538.7655,0.515376
osm_footpaths,ZAF.9.3.1_1_38528,4867.9913,0.515376
osm_footpaths,ZAF.9.3.1_1_38528,5060.5685,0.515376
osm_footpaths,ZAF.9.3.1_1_38528,5426.6298,0.515376
osm_footpaths,ZAF.9.3.1_1_38528,5801.1535,0.631087
osm_footpaths,ZAF.9.3.1_1_38528,6100.0940,0.631778
osm_footpaths,ZAF.9.3.1_1_38528,6504.6887,0.639567
