method,block,displacement,permeability
clearance_looped,ZAF.9.3.1_1_5810,0.0000,0
clearance_looped,ZAF.9.3.1_1_5810,0.0124,0.355918
clearance_looped,ZAF.9.3.1_1_5810,0.0270,0.516101
clearance_looped,ZAF.9.3.1_1_5810,0.0393,0.594147
clearance_looped,ZAF.9.3.1_1_5810,0.0507,0.665085
clearance_looped,ZAF.9.3.1_1_5810,0.0655,0.698962
clearance_looped,ZAF.9.3.1_1_5810,0.0789,0.717998
clearance_looped,ZAF.9.3.1_1_5810,0.0941,0.731281
clearance_looped,ZAF.9.3.1_1_5810,0.1091,0.748313
clearance_looped,ZAF.9.3.1_1_5810,0.1235,0.769704
clearance_looped,ZAF.9.3.1_1_5810,0.1390,0.780601
clearance_looped,ZAF.9.3.1_1_5810,0.1540,0.790662
clearance_looped,ZAF.9.3.1_1_5810,0.1688,0.803188
clearance_looped,ZAF.9.3.1_1_5810,0.1808,0.808891
clearance_looped,ZAF.9.3.1_1_5810,0.1956,0.820555
clearance_looped,ZAF.9.3.1_1_5810,0.2093,0.830106
clearance_looped,ZAF.9.3.1_1_5810,0.2213,0.835761
clearance_looped,ZAF.9.3.1_1_5810,0.2344,0.843262
clearance_looped,ZAF.9.3.1_1_5810,0.2463,0.847065
clearance_looped,ZAF.9.3.1_1_5810,0.2562,0.852396
clearance_looped,ZAF.9.3.1_1_5810,0.2655,0.856623
euclidean_grid,ZAF.9.3.1_1_5810,0.0000,0
euclidean_grid,ZAF.9.3.1_1_5810,0.0127,0.426793
euclidean_grid,ZAF.9.3.1_1_5810,0.0286,0.586036
euclidean_grid,ZAF.9.3.1_1_5810,0.0406,0.664381
euclidean_grid,ZAF.9.3.1_1_5810,0.0521,0.752128
euclidean_grid,ZAF.9.3.1_1_5810,0.0657,0.788658
euclidean_grid,ZAF.9.3.1_1_5810,0.0745,0.827421
euclidean_grid,ZAF.9.3.1_1_5810,0.0784,0.835094
euclidean_grid,ZAF.9.3.1_1_5810,0.0853,0.848852
euclidean_grid,ZAF.9.3.1_1_5810,0.0930,0.865249
euclidean_grid,ZAF.9.3.1_1_5810,0.0987,0.872016
euclidean_grid,ZAF.9.3.1_1_5810,0.1058,0.88402
euclidean_grid,ZAF.9.3.1_1_5810,0.1108,0.886803
euclidean_grid,ZAF.9.3.1_1_5810,0.1146,0.888178
euclidean_grid,ZAF.9.3.1_1_5810,0.1227,0.893583
euclidean_grid,ZAF.9.3.1_1_5810,0.1281,0.893714
cycle_native,ZAF.9.3.1_1_5810,0.0000,0
cycle_native,ZAF.9.3.1_1_5810,0.0107,0.456371
cycle_native,ZAF.9.3.1_1_5810,0.0185,0.613859
cycle_native,ZAF.9.3.1_1_5810,0.0273,0.681906
cycle_native,ZAF.9.3.1_1_5810,0.0408,0.776249
cycle_native,ZAF.9.3.1_1_5810,0.0514,0.820305
cycle_native,ZAF.9.3.1_1_5810,0.0624,0.847255
cycle_native,ZAF.9.3.1_1_5810,0.0757,0.869163
cycle_native,ZAF.9.3.1_1_5810,0.0874,0.880613
cycle_native,ZAF.9.3.1_1_5810,0.0998,0.893248
cycle_native,ZAF.9.3.1_1_5810,0.1144,0.902551
cycle_native,ZAF.9.3.1_1_5810,0.1294,0.911081
cycle_native,ZAF.9.3.1_1_5810,0.1384,0.916093
cycle_native,ZAF.9.3.1_1_5810,0.1512,0.920648
cycle_native,ZAF.9.3.1_1_5810,0.1609,0.926659
cycle_native,ZAF.9.3.1_1_5810,0.1698,0.932469
cycle_native,ZAF.9.3.1_1_5810,0.1777,0.933971
cycle_native,ZAF.9.3.1_1_5810,0.1857,0.936324
cycle_native,ZAF.9.3.1_1_5810,0.1916,0.938486
cycle_native,ZAF.9.3.1_1_5810,0.1955,0.939447
cycle_native,ZAF.9.3.1_1_5810,0.1993,0.941522
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0000,0
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0013,0.182192
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0035,0.257297
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0113,0.388999
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0125,0.455559
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0158,0.506214
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0211,0.557696
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0238,0.584571
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0283,0.633513
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0319,0.67751
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0340,0.686616
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0389,0.713674
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0448,0.728903
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0491,0.742106
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0538,0.766635
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0584,0.778351
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0626,0.787242
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0661,0.796082
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0691,0.799168
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0704,0.802029
greedy_arterial_access_displacement,ZAF.9.3.1_1_5810,0.0704,0.802042
osm_footpaths,ZAF.9.3.1_1_5810,0.0000,0
osm_footpaths,ZAF.9.3.1_1_5810,0.0000,8.35354e-09
osm_footpaths,ZAF.9.3.1_1_5810,0.0031,0.00871103
osm_footpaths,ZAF.9.3.1_1_5810,0.0031,0.00871103
osm_footpaths,ZAF.9.3.1_1_5810,0.0075,0.02121
osm_footpaths,ZAF.9.3.1_1_5810,0.0090,0.0445424
osm_footpaths,ZAF.9.3.1_1_5810,0.0112,0.0446094
osm_footpaths,ZAF.9.3.1_1_5810,0.0142,0.0584653
osm_footpaths,ZAF.9.3.1_1_5810,0.0161,0.0591078
osm_footpaths,ZAF.9.3.1_1_5810,0.0175,0.148612
osm_footpaths,ZAF.9.3.1_1_5810,0.0202,0.213107
osm_footpaths,ZAF.9.3.1_1_5810,0.0218,0.214074
